market,rank,sleeve_id,gates,anchor,dir,stability,n_tr,n_v,n_lb,n_full,wr_tr,wr_v,wr_lb,wr_full,dpt_tr,dpt_v,dpt_lb,dpt_full,dd_lb,ls_lb,sharpe,bs_p,sum_28d_const,sum_lockbox,_dpt_lb,_n_lb,proj_full_33d,proj_annual
SOL 5m,1,SOL5_V7_S1,g_btc_trend_30m_with|g_cci_extreme_with|g_hurst_reverting,mixed_offset,BOTH,OK,412,202,45,,0.7184466019417476,0.7178217821782178,0.8222222222222222,,1.8333993129463424,8.822481285170245,12.58849996215702,,65.5749417811101,1,0.0,0.0,3103.984234835348,,12.58849996215702,45.0,4625.329598595542,51726.933125750824
SOL 5m,2,SOL5_V7_S2,g_btc_f7_with|g_f7_v7_overbought|g_tr_above_ema800|g_vwap_in_45_85,mixed_offset,BOTH,⚠VAL_NEG,477,231,190,,0.7274633123689728,0.6406926406926406,0.8210526315789474,,2.4183868697270365,-0.9201865076556478,5.554480220814405,,125.0,6,34.52589686524047,0.0,1996.3586955460787,,5.554480220814405,190.0,8616.942890560425,96366.76028099192
SOL 5m,3,SOL5_V7_S3,g_btc_f7_against|g_cci_extreme_with|g_hurst_reverting,mixed_offset,BOTH,OK,528,304,49,,0.6893939393939394,0.7697368421052632,0.8775510204081632,,1.590379569205399,7.58457886270364,10.717139352161212,,50.0,2,0.0,0.0,3670.572215058257,,10.717139352161212,49.0,4287.766697709418,47951.83056761681
SOL 5m,4,SOL5_V7_S4,g_cci_extreme_with|g_f7_v7_oversold|g_mfi_strong_with|g_stoch_strong_with,mixed_offset,BOTH,⚠VAL_NEG,303,110,107,,0.8085808580858086,0.7545454545454545,0.9065420560747663,,3.469798999209803,-2.0921972827564987,6.987471577120865,,75.0,3,22.94770026019141,0.003,1568.866854409288,,6.987471577120865,107.0,6104.6394807095285,68270.65432728584
SOL 5m,5,SOL5_V7_S5,g_cci_extreme_with|g_f7_v7_oversold|g_mfi_with|g_stoch_strong_with,mixed_offset,BOTH,⚠VAL_NEG,326,117,114,,0.8159509202453987,0.7606837606837606,0.9035087719298246,,3.546222790128094,-1.926331504988257,6.5302795559279945,,75.0,3,23.34944493213596,0.001,1675.139712873924,,6.5302795559279945,114.0,6078.449513453336,67977.76132237694
BTC 15m,1,V6_baseline,g_tr_above_ema200+g_mp_skew_strong_with+g_rf_with,offset_600s,DOWN,⚠VAL_NEG,202,71,34,,0.6336633663366337,0.6197183098591549,0.8529411764705882,,2.012964174977929,-0.6834716199875498,11.806014118136716,,71.65909075823205,2,22.932704316968795,0.001,2809.8313601165382,,11.806014118136716,34.0,3277.4675793359334,36653.2465815202
BTC 15m,2,V7_exp3_plus_eth_slope_with,g_tr_above_ema200+g_mp_skew_strong_with+g_rf_with+g_eth_slope_with,offset_600s,DOWN,⚠VAL_NEG,90,33,15,,0.6444444444444445,0.5454545454545454,0.8666666666666667,,3.63821199865454,-1.1669573774325688,15.581974897053076,,25.0,1,20.06014592131885,0.001,1636.107364190573,,15.581974897053076,15.0,1908.4023755165754,21342.436241807387
BTC 15m,3,V7_exp2_plus_parent_1h_ranging,g_tr_above_ema200+g_mp_skew_strong_with+g_rf_with+g_parent_1h_ranging,offset_600s,DOWN,OK,112,53,18,,0.6428571428571429,0.6415094339622641,0.8333333333333334,,2.598612284498073,1.09425085469507,13.328632342669763,,36.80769092514666,1,11.059973772083158,0.061,1679.4076751763905,,13.328632342669763,18.0,1958.909095402175,21907.27333422059
BTC 15m,4,V7_exp1_plus_hurst_reverting,g_tr_above_ema200+g_mp_skew_strong_with+g_rf_with+g_hurst_reverting,offset_600s,DOWN,⚠VAL_NEG,6,3,0,,0.5,0.3333333333333333,0.0,,-5.864030445115755,-15.553030252744016,0.0,,0.0,0,0.0,,0.0,,0.0,0.0,0.0,0.0
ETH 15m,1,V7_PI_S1_BTC_15M_TREND,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_btc_15m_trend_with,offset_early (60s) + ws_s pre-window,BOTH,OK,35,8,21,,0.8,0.625,0.9524,,9.62,1.84,12.28,,75.0,3,12.1,0.0,20309.38,,12.28,21.0,2105.5901999999996,23547.6675
ETH 15m,2,V7_PI_S1_TS_AND_BTC_15M,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_trend_slope_with&g_pw_btc_15m_trend_with,offset_early (60s) + ws_s pre-window,BOTH,⚠VAL_NEG,33,7,17,,0.8182,0.5714,0.9412,,10.53,-1.66,11.86,,60.97,2,11.6,0.0,17911.38,,11.86,17.0,1646.2272999999998,18410.42625
ETH 15m,3,V7_PG_RV_ABOVE_MED,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_trend_slope_with&g_rv_60_above_med,offset_early (60s) + ws_s pre-window,BOTH,⚠VAL_NEG,32,6,18,,0.8125,0.5,0.9444,,10.22,-4.34,11.27,,60.97,2,11.36,0.0,16792.1,,11.27,18.0,1656.3518999999997,18523.653749999998
ETH 15m,4,V7_PG_VOL_EXTREME_CORE,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_extreme_high&g_pw_trend_slope_with,offset_early (60s) + ws_s pre-window,BOTH,⚠VAL_NEG,19,3,15,,0.8421,0.3333,1.0,,9.43,-11.45,12.28,,50.0,2,11.1,0.0,14388.77,,12.28,15.0,1503.9929999999997,16819.7625
ETH 15m,5,V7_PG_VOL_EXTREME_TS,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_trend_slope_with&g_vol_extreme_high,offset_early (60s) + ws_s pre-window,BOTH,⚠VAL_NEG,18,3,14,,0.8333,0.3333,1.0,,9.04,-11.45,12.33,,50.0,2,10.29,0.0,14044.51,,12.33,14.0,1409.4423,15762.36375
SOL 15m,1,S3_XADX_ETHVOLLOW,V6+g_BTC_adx_strong+g_ETH_adx_strong+g_ETH_vol_low,offset_60_240s (15m window early-mid),BOTH,OK,19,5,22,,0.6842105263157895,0.8,0.9090909090909092,,3.2274021690331147,6.655153821671479,10.671916365774187,,25.0,1,21.12845087763645,0.0,282.6188835563873,,10.671916365774187,22.0,1916.9963367840169,21438.54598929462
SOL 15m,2,S1_BTC_ADX_VOLLOW,V6+g_BTC_tr_stack_with+g_BTC_adx_strong+g_BTC_vol_low,offset_60_240s (15m window early-mid),BOTH,OK,15,3,16,,0.7333333333333333,1.0,0.9375,,2.745726741139373,17.26747080749631,12.175454648255611,,25.0,1,12.990103990671106,0.033,246.93916078820425,,12.175454648255611,16.0,1590.6013952481128,17788.339241101447
SOL 15m,3,S1_BTC_ADX_VOLLOW_v2,V6+g_ETH_tr_stack_with+g_BTC_adx_strong+g_BTC_vol_low,offset_60_240s (15m window early-mid),BOTH,OK,16,3,16,,0.6875,1.0,0.9375,,2.1190442979469424,17.26747080749631,12.175454648255611,,25.0,1,12.990103990671106,0.033,240.6916309303685,,12.175454648255611,16.0,1590.6013952481128,17788.339241101447
SOL 15m,4,S5_BTC_SLOPE_STR,V6+g_BTC_slope_with+g_BTC_slope_strong_with,offset_60_240s (15m window early-mid),BOTH,OK,52,10,18,,0.6923076923076923,0.8,0.8888888888888888,,3.3179881228164327,6.413705256234806,10.776395316634066,,38.47058861426828,1,9.920032825675657,0.033,369.51137967134247,,10.776395316634066,18.0,1583.8068196857084,17712.352752302668
SOL 15m,5,S5_BTC_SLOPE_STR_v2,V6+g_BTC_slope_strong_with,offset_60_240s (15m window early-mid),BOTH,OK,52,10,18,,0.6923076923076923,0.8,0.8888888888888888,,3.3179881228164327,6.413705256234806,10.776395316634066,,38.47058861426828,1,9.920032825675657,0.033,369.51137967134247,,10.776395316634066,18.0,1583.8068196857084,17712.352752302668
