version,sleeve_id,asset,tf,offsets,direction,n_gates,gate_stack
V6,SOL_5M_CCI_F7_MFI_PARTIAL_VWAP_V6,SOL,5m,"[30, 60, 90, 120, 150, 180, 210, 240]",BOTH,5,g_cci_strong_with|g_f7_rsi_with|g_mfi_with|g_tr_partial_stack_with|g_vwap_in_45_85
V6,SOL_5M_F7_MP_EMA200_VWAP_V6,SOL,5m,"[30, 60, 90, 120, 150, 180, 210, 240]",BOTH,4,g_f7_rsi_with|g_mp_no_extreme_150|g_tr_above_ema200|g_vwap_in_55_80
V6,SOL_5M_F7_MFI_EMA200_VWAP_V6,SOL,5m,"[30, 60, 90, 120, 150, 180, 210, 240]",BOTH,4,g_f7_rsi_with|g_mfi_with|g_tr_above_ema200|g_vwap_in_55_80
V6,ETH_15M_TRSTACK_VWAP_VOL_OFFEARLY_BAND_V6,ETH,15m,"[0, 30, 60]",BOTH,5,g_tr_stack_full_with|g_above_1h_dailyvwap_with|g_offset_early|g_vol_high|g_entry_vwap_in_30_70
V6,ETH_15M_PW_TRENDSLOPE_TRSTACK_VWAP_VOL_OFFEARLY_V6,ETH,15m,"[0, 30, 60]",BOTH,5,g_tr_stack_full_with|g_above_1h_dailyvwap_with|g_offset_early|g_vol_high|g_pw_trend_slope_with
V6,BTC_15M_VWAPPREM_EMA50_MPSKEW_OFF600_V6,BTC,15m,[600],BOTH,3,g_vwap_premium|g_tr_above_ema50|g_mp_skew_with
V6,BTC_15M_EMA200_MPSKEW_RF_OFF600_DOWN_V6,BTC,15m,[600],DOWN,3,g_tr_above_ema200|g_mp_skew_strong_with|g_rf_with
V6,BTC_15M_EMA800_RIBSLP_HAWKES_OFF840_V6,BTC,15m,[840],BOTH,3,g_tr_above_ema800|g_ribbon_slope_with|g_hawkes_imb_loose_with
V6,SOL_15M_HOD_EU_OFF60_240_RF_TR_VWAP80_V6,SOL,15m,"[60, 120, 240]",BOTH,4,g_hod_european_morning|g_off_60_240|g_rf_with|g_tr_stack_with
V6,SOL_15M_HOD_EU_OFF60_240_RF_TR_VWAP30_70_V6,SOL,15m,"[60, 120, 240]",BOTH,5,g_hod_european_morning|g_off_60_240|g_rf_with|g_tr_stack_with|g_entry_vwap_in_30_70
V6,SOL_15M_HOD_EU_TIGHTRIB_RF_TR_VWAP80_V6,SOL,15m,ALL,BOTH,4,g_hod_european_morning|g_rf_with|g_tight_ribbon|g_tr_stack_with
V7,BTC_5M_V7_T1_PARENT15M_REGIME,BTC,5m,ALL,BOTH,3,g_parent_15m_regime_with|g_within_dev|g_hurst_trending
V7,BTC_5M_V7_T2_PARENT15M_SLOPE,BTC,5m,ALL,BOTH,3,g_parent_15m_slope_with|g_trend_slope_strong_with|g_mp_no_extreme
V7,BTC_5M_V7_T3_OFI_TS,BTC,5m,ALL,BOTH,2,g_slot_end_ofi_with|g_trend_slope_strong_with
V7,BTC_5M_V7_T4_HURST_TS_HAWKES,BTC,5m,ALL,BOTH,3,g_hurst_regime_with|g_trend_slope_strong_with|g_hawkes_imbalance_with
V7,BTC_5M_V7_T5_PARENT15M_NOTRANGING_MPSKEW,BTC,5m,ALL,BOTH,3,g_parent_15m_not_ranging|g_trend_slope_strong_with|g_mp_skew_with
V7,ETH_5M_V7_C1_CLOUD_VWAP_HURST_MP,ETH,5m,[60],BOTH,3,g_tr_above_cloud|g_entry_vwap_in_band|g_hurst_mp_trend_with
V7,ETH_5M_V7_C2_EMA50_HURST_PARENT_RANGING,ETH,5m,[60],BOTH,3,g_tr_above_ema50|g_hurst_trending|g_parent15m_ranging
V7,ETH_5M_V7_C3_V6C3_PARENT_RANGING,ETH,5m,[60],BOTH,5,g_tr_above_cloud|g_ribbon_agrees|g_mp_skew_with|g_hurst_trending|g_parent15m_ranging
V7,ETH_5M_V7_C4_XA_3SOURCE_PARENT_RANGING,ETH,5m,[90],BOTH,4,g_tr_above_ema200|g_entry_vwap_in_band|g_regime_ranging_at_ws|g_xa_3source_trend_with
V7,ETH_5M_V7_C5_CLOUD_HURST_VWAP_PARENT,ETH,5m,[60],BOTH,4,g_tr_above_cloud|g_hurst_trending|g_entry_vwap_in_band|g_parent15m_ranging
V7,SOL_5M_V7_S1_BTC_TREND_CCI_HURST_REV,SOL,5m,ALL,BOTH,3,g_btc_trend_30m_with|g_cci_extreme_with|g_hurst_reverting
V7,SOL_5M_V7_S2_BTC_F7_OVERBOUGHT_EMA800_VWAP,SOL,5m,ALL,BOTH,4,g_btc_f7_with|g_f7_v7_overbought|g_tr_above_ema800|g_vwap_in_45_85
V7,SOL_5M_V7_S3_BTC_F7_AGAINST_CCI_HURST_REV,SOL,5m,ALL,BOTH,3,g_btc_f7_against|g_cci_extreme_with|g_hurst_reverting
V7,SOL_5M_V7_S4_CCI_F7_OVERSOLD_MFI_STOCH,SOL,5m,ALL,BOTH,4,g_cci_extreme_with|g_f7_v7_oversold|g_mfi_strong_with|g_stoch_strong_with
V7,SOL_5M_V7_S5_CCI_F7_OVERSOLD_MFI_STOCH_LIGHT,SOL,5m,ALL,BOTH,4,g_cci_extreme_with|g_f7_v7_oversold|g_mfi_with|g_stoch_strong_with
V7,BTC_15M_V7_BASELINE,BTC,15m,[600],DOWN,3,g_tr_above_ema200|g_mp_skew_strong_with|g_rf_with
V7,BTC_15M_V7_PLUS_ETH_SLOPE,BTC,15m,[600],DOWN,4,g_tr_above_ema200|g_mp_skew_strong_with|g_rf_with|g_eth_slope_with
V7,BTC_15M_V7_PLUS_PARENT_1H_RANGING,BTC,15m,[600],DOWN,4,g_tr_above_ema200|g_mp_skew_strong_with|g_rf_with|g_parent_1h_ranging
V7,ETH_15M_V7_PI_S1_BTC_15M_TREND,ETH,15m,[60],BOTH,5,g_tr_stack_full_with|g_above_1h_dailyvwap_with|g_offset_early|g_vol_high|g_pw_btc_15m_trend_with
V7,ETH_15M_V7_PI_S1_TS_AND_BTC_15M,ETH,15m,[60],BOTH,6,g_tr_stack_full_with|g_above_1h_dailyvwap_with|g_offset_early|g_vol_high|g_pw_trend_slope_with|g_pw_btc_15m_trend_with
V7,ETH_15M_V7_PG_RV_ABOVE_MED,ETH,15m,[60],BOTH,6,g_tr_stack_full_with|g_above_1h_dailyvwap_with|g_offset_early|g_vol_high|g_pw_trend_slope_with|g_rv_60_above_med
V7,ETH_15M_V7_PG_VOL_EXTREME_CORE,ETH,15m,[60],BOTH,5,g_tr_stack_full_with|g_above_1h_dailyvwap_with|g_offset_early|g_vol_extreme_high|g_pw_trend_slope_with
V7,ETH_15M_V7_PG_VOL_EXTREME_TS,ETH,15m,[60],BOTH,6,g_tr_stack_full_with|g_above_1h_dailyvwap_with|g_offset_early|g_vol_high|g_pw_trend_slope_with|g_vol_extreme_high
V7,SOL_15M_V7_S3_XADX_ETHVOLLOW,SOL,15m,"[60, 120, 240]",BOTH,7,g_hod_european_morning|g_off_60_240|g_rf_with|g_tr_stack_with|g_BTC_adx_strong|g_ETH_adx_strong|g_ETH_vol_low
V7,SOL_15M_V7_S1_BTC_ADX_VOLLOW,SOL,15m,"[60, 120, 240]",BOTH,7,g_hod_european_morning|g_off_60_240|g_rf_with|g_tr_stack_with|g_BTC_tr_stack_with|g_BTC_adx_strong|g_BTC_vol_low
V7,SOL_15M_V7_S1_BTC_ADX_VOLLOW_V2,SOL,15m,"[60, 120, 240]",BOTH,7,g_hod_european_morning|g_off_60_240|g_rf_with|g_tr_stack_with|g_ETH_tr_stack_with|g_BTC_adx_strong|g_BTC_vol_low
V7,SOL_15M_V7_S5_BTC_SLOPE_STR,SOL,15m,"[60, 120, 240]",BOTH,6,g_hod_european_morning|g_off_60_240|g_rf_with|g_tr_stack_with|g_BTC_slope_with|g_BTC_slope_strong_with
V7,SOL_15M_V7_S5_BTC_SLOPE_STR_V2,SOL,15m,"[60, 120, 240]",BOTH,5,g_hod_european_morning|g_off_60_240|g_rf_with|g_tr_stack_with|g_BTC_slope_strong_with
